Name,Surname,Client Code,Reference Month,Total Liquidity,Total Loans/Engagements,Total Investments,Interest Margin,Food Expenses,Transport Expenses,Entertainment Expenses,Healthcare Expenses,Consultant Name,Consultant Code
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-01-01,48965.297,10.0,7623.818,26.834558,513.495,119.921425,156.429,293.78864,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-02-01,48258.74,10.0,7524.0,26.986368,513.2882,119.3618,155.19801,289.76004,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-03-01,47965.58,10.0,7524.0,26.895489,518.2404,121.578186,153.90547,288.19824,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-04-01,47666.13,10.0,7524.0,26.761162,522.4127,123.56296,152.76744,286.30304,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-05-01,47428.51,10.0,7524.0,26.651684,527.3754,125.71105,151.46953,284.43582,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-06-01,47190.47,10.0,7524.0,26.533657,531.7915,127.57067,150.216,282.55872,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-07-01,46951.684,10.0,7524.0,26.413229,535.7967,129.19151,148.98112,280.68823,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-08-01,46707.55,10.0,7524.0,26.289505,539.31,130.55412,147.78108,278.80646,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-09-01,46460.375,10.0,7524.0,26.16418,542.39014,131.68376,146.61264,276.918,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-10-01,46211.953,10.0,7524.0,26.038303,545.07697,132.59868,145.47545,275.02402,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-11-01,45964.46,10.0,7524.0,25.91297,547.41833,133.31949,144.36708,273.1271,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Jessica,Harrington,4ad79046-7364-4bd1-89e8-d3d686f30455,2024-12-01,45719.715,10.0,7524.0,25.789093,549.4546,133.86394,143.28539,271.22958,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-01-01,81643.734,10.0,50444.1,56.699512,594.74725,351.00076,181.22292,129.98218,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-02-01,79672.62,10.0,50249.504,56.034245,602.918,354.83615,181.4588,118.27214,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-03-01,78287.336,10.0,50041.777,55.464508,610.63354,357.72943,180.34206,113.50941,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-04-01,77081.93,10.0,49828.29,54.769306,617.94946,360.6605,179.06999,109.77352,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-05-01,75878.18,10.0,49615.473,54.065643,624.9697,363.73633,177.73854,106.54035,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-06-01,74666.94,10.0,49403.87,53.37108,631.67426,366.95468,176.31046,103.57093,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-07-01,73457.63,10.0,49192.53,52.68259,638.0685,370.3334,174.77162,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-08-01,72255.68,10.0,48981.477,51.998226,644.1391,373.88782,173.11192,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-09-01,71064.61,10.0,48770.367,51.32285,649.8933,377.6663,171.29936,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-10-01,69879.94,10.0,48560.26,50.65214,655.3393,381.74564,169.3492,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-11-01,68705.44,22.278305,48351.293,49.987244,660.435,386.11685,167.24422,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Tammy,Perez,478a20a9-1d03-48ed-8ad1-90bdc840417d,2024-12-01,67542.08,45.19483,48143.332,49.33005,665.17523,390.78427,164.97093,101.0,Ashley Marks,d8580066-8b68-46d8-b946-afe7520e11de
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-01-01,1713.9122,10.0,9818.494,2.0,551.65454,141.094,164.00594,128.99225,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-02-01,1710.9307,10.0,9817.016,2.0,563.9365,141.2963,160.97313,129.86374,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
Renee,James,9c403cba-ef9f-47e0-a171-48fa8d2d47fa,2024-03-01,1706.5953,10.0,9831.069,2.0,573.5286,140.4894,158.34572,129.99812,Patrick Walker,89c7e841-0470-4981-a7f4-bdd51b9e3602
